날짜,요일,객수
2019-02-22,금,68
2019-02-23,토,62
2019-02-24,일,47
2019-02-25,월,64
2019-02-26,화,67
2019-02-27,수,32
2019-02-28,목,51
2019-03-01,금,48
2019-03-02,토,39
2019-03-03,일,29
2019-03-04,월,32
2019-03-05,화,31
2019-03-06,수,25
2019-03-07,목,26
2019-03-08,금,41
2019-03-09,토,50
2019-03-10,일,33
2019-03-11,월,21
2019-03-12,화,34
2019-03-13,수,40
2019-03-14,목,18
2019-03-15,금,33
2019-03-16,토,3
2019-03-17,일,13
2019-03-18,월,37
2019-03-19,화,37
2019-03-20,수,31
2019-03-21,목,23
2019-03-22,금,35
2019-03-23,토,33
2019-03-24,일,40
2019-03-25,월,27
2019-03-26,화,50
2019-03-27,수,20
2019-03-28,목,27
2019-03-29,금,41
2019-03-30,토,47
2019-03-31,일,39
2019-04-01,월,39
2019-04-02,화,43
2019-04-03,수,25
2019-04-04,목,33
2019-04-05,금,31
2019-04-06,토,39
2019-04-07,일,39
2019-04-08,월,35
2019-04-09,화,51
2019-04-10,수,18
2019-04-11,목,33
2019-04-12,금,46
2019-04-13,토,43
2019-04-14,일,47
2019-04-15,월,36
2019-04-16,화,51
2019-04-17,수,22
2019-04-18,목,30
2019-04-19,금,66
2019-04-20,토,52
2019-04-21,일,35
2019-04-22,월,25
2019-04-23,화,42
2019-04-24,수,42
2019-04-25,목,37
2019-04-26,금,49
2019-04-27,토,40
2019-04-28,일,54
2019-04-29,월,44
2019-04-30,화,57
2019-05-01,수,7
2019-05-02,목,39
2019-05-03,금,42
2019-05-04,토,28
2019-05-05,일,49
2019-05-06,월,39
2019-05-07,화,37
2019-05-08,수,39
2019-05-09,목,23
2019-05-10,금,44
2019-05-11,토,42
2019-05-12,일,37
2019-05-13,월,38
2019-05-14,화,49
2019-05-15,수,30
2019-05-16,목,33
2019-05-17,금,56
2019-05-18,토,53
2019-05-19,일,38
2019-05-20,월,30
2019-05-21,화,41
2019-05-22,수,12
2019-05-23,목,43
2019-05-24,금,40
2019-05-25,토,46
2019-05-26,일,29
