,날짜,구글 검색량,네이버 검색량
807,2017-10-06,,16.62777
808,2017-10-07,,16.29975
809,2017-10-09,,15.675629999999998
810,2017-10-10,,10.33044
811,2017-10-11,,9.90445
812,2017-10-12,,10.29411
813,2017-10-13,,13.32445
814,2017-10-14,,16.45715
815,2017-10-16,,9.448739999999999
816,2017-10-17,,9.79218
817,2017-10-18,,10.287510000000001
818,2017-10-19,,10.031039999999999
819,2017-10-20,,12.9535
820,2017-10-21,,15.44447
821,2017-10-23,,9.48287
822,2017-10-24,,9.51919
823,2017-10-25,,9.715119999999999
824,2017-10-26,,9.48617
825,2017-10-27,,11.7636
826,2017-10-28,,15.736170000000001
827,2017-10-30,,9.52249
828,2017-10-31,,9.020560000000001
829,2017-11-01,,8.68923
830,2017-11-02,,8.77619
831,2017-11-03,,13.2441
832,2017-11-04,,15.89688
833,2017-11-06,,9.22199
834,2017-11-07,,11.58858
835,2017-11-08,,9.64908
836,2017-11-09,,9.02276
837,2017-11-10,,13.747129999999999
